molregno,molecular_complexity,mean_standard_value
254663,5.45,19.4
254697,5.21,37.8
254698,5.49,18.7
254700,5.5,16.6
254705,5.46,25.9
254707,5.55,55.2
254756,5.36,18.5
254757,5.74,5.9
254828,2.75,72000.0
255027,3.24,2200.0
257425,3.26,12589.25
262265,2.47,50000.0
265147,2.86,27100.0
265151,1.64,25850.0
266191,5.25,8000.0
266290,5.46,4000.0
266358,5.48,3000.0
266396,5.48,7000.0
266599,5.94,3000.0
266600,5.81,6000.0
266757,5.41,2000.0
266812,3.99,1000.0
266823,5.63,4000.0
266862,5.53,8000.0
267109,4.93,3000.0
267110,5.63,4000.0
267117,4.42,2000.0
267138,6.18,9000.0
267163,6.38,46930.0
267252,3.96,3000.0
270084,3.03,260.0
270086,2.99,170.0
270976,2.55,150.0
271013,3.06,140.0
271014,2.58,150.0
272776,6.64,5000.0
273359,4.74,6100.0
273386,4.33,1300.0
273387,4.03,1000.0
273677,4.35,1700.0
273796,3.66,15900.0
273848,4.51,3900.0
274552,0.77,1650.0
274693,2.04,1330.0
274695,1.78,440.0
274730,1.3,670.0
274756,0.99,2600.0
274757,1.78,660.0
274758,0.96,12800.0
274879,0.91,800.0
274912,0.8,1550.0
274942,1.73,520.0
275130,0.81,3200.0
275235,2.9,480.0
275236,2.65,370.0
275648,2.16,870.0
275649,2.75,600.0
275656,1.36,6950.0
276674,5.46,28.0
277207,4.92,13.8
277640,5.1,1.0
277673,4.76,47.0
281323,3.12,30.185
282288,2.51,13790.0
284602,4.89,219.96
284734,4.24,210.045
284947,3.71,196.825
284970,4.51,1309.045
284971,3.85,1007.585
284972,4.24,285.195
285066,3.96,1723.99
285068,3.82,288.91
285069,4.72,2303.235
285209,4.88,126.48
285309,4.92,9.2
285310,4.69,14.48
287587,6.06,23.0
287588,6.06,42.0
287707,5.61,76.0
288390,5.18,65.0
288391,5.49,21.0
288712,4.42,84.0
288823,5.21,49.0
288831,5.32,53.0
288878,3.66,160.0
288879,3.61,320.0
289101,3.48,960.0
289108,5.02,110.0
289176,5.37,99.0
289290,5.32,39.0
289291,5.41,34.0
289299,5.18,30.0
289361,4.52,7.7
289699,3.65,74600.0
289928,5.63,170.0
290030,3.77,30900.0
290074,5.6,44.0
290080,5.59,68.0
290186,2.17,16000.0
290230,5.02,38.0
290397,5.39,15.0
290454,5.63,31.0
290530,2.49,45600.0
290533,4.57,1100.0
290541,5.37,78.0
290542,4.36,600.0
290566,5.93,13.0
290588,2.89,56500.0
290589,3.89,23600.0
290771,5.99,11.0
290777,5.64,25.0
290786,5.52,20.0
290871,5.2,55.0
290935,6.39,14.0
291032,5.6,310.0
291033,4.05,120.0
291074,5.38,2000.0
291189,5.2,240.0
291309,4.85,29200.0
291354,3.94,230.0
291361,3.9,2200.0
291362,3.61,101.0
291396,5.52,44.0
291397,5.65,79.0
291481,5.68,19.0
291488,3.61,74600.0
291514,5.4,51.0
291515,5.41,39.0
291675,6.22,240.0
292082,3.75,1100.0
292361,3.75,14800.0
292383,4.06,23900.0
292384,3.76,38500.0
292488,4.72,16300.0
292489,3.71,33100.0
292798,2.73,66800.0
292899,3.82,16800.0
292901,5.8,6400.0
293032,4.63,14200.0
293070,3.7,22100.0
293352,6.57,6.9
293499,5.7,600.0
293500,3.94,230.0
293657,4.06,29300.0
293804,5.71,600.0
293953,5.64,450.0
293981,5.86,1110.0
294075,5.92,610.0
294129,6.08,90.0
294210,5.89,1800.0
294298,4.83,3000.0
294403,5.91,210.0
294533,5.18,3900.0
294566,5.66,400.0
294567,5.63,410.0
294776,5.88,190.0
294813,5.73,620.0
294871,5.92,17000.0
294897,4.51,5.0
294918,5.73,500.0
295024,5.73,320.0
295046,5.56,9000.0
295108,5.89,17.0
295158,6.07,7.0
295229,5.15,890.0
295389,5.86,1110.0
295414,6.07,980.0
295483,5.65,6200.0
295540,5.93,8200.0
295690,5.89,250.0
297097,6.8,272.5
297210,5.66,590.0
299604,5.87,530.0
299900,4.57,400.0
299901,4.52,900.0
299922,4.25,300.0
299938,4.39,2500.0
299962,4.73,200.0
299963,4.8,200.0
300024,5.5,900.0
300063,5.09,200.0
300085,5.06,250.0
